caption,readability,read_grade,calc_grade
1,45.168,College Level,12.276
2,120.205,5th Grade,-3.01
3,48.065,College Level,13.346
4,54.348,11th Grade,10.648
5,45.715,College Level,11.976
6,57.994,11th Grade,9.176
7,42.966,College Level,11.49
8,49.441,College Level,10.288
9,67.633,9th Grade,7.718
10,61.665,9th Grade,9.13
11,62.301,9th Grade,9.166
12,66.65,9th Grade,8.807
